model,funny_or_sad,true_label,accuracy,precision,recall,f1
microsoft_deberta_v3_small_AdamW_with_dropout_cls_results,funny,3,0.7143,0.2857,0.1429,0.1905
microsoft_deberta_v3_small_AdamW_with_dropout_cls_results,funny,4,0.8487,0.0,0.0,0.0
microsoft_deberta_v3_small_AdamW_with_dropout_cls_results,funny,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_small_AdamW_with_dropout_cls_results,sad,overall,0.5546,0.2593,0.2376,0.2237
microsoft_deberta_v3_small_AdamW_with_dropout_cls_results,sad,1,0.5882,0.58,0.8923,0.703
microsoft_deberta_v3_small_AdamW_with_dropout_cls_results,sad,2,0.7227,0.4667,0.2188,0.2979
microsoft_deberta_v3_small_AdamW_with_dropout_cls_results,sad,3,0.8739,0.25,0.0769,0.1176
microsoft_deberta_v3_small_AdamW_with_dropout_cls_results,sad,4,0.958,0.0,0.0,0.0
microsoft_deberta_v3_small_AdamW_with_dropout_cls_results,sad,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_small_AdamW_with_dropout_mean_pooling_results,funny,overall,0.3277,0.2147,0.2152,0.1899
microsoft_deberta_v3_small_AdamW_with_dropout_mean_pooling_results,funny,1,0.7563,0.4545,0.1786,0.2564
microsoft_deberta_v3_small_AdamW_with_dropout_mean_pooling_results,funny,2,0.4202,0.3333,0.6829,0.448
microsoft_deberta_v3_small_AdamW_with_dropout_mean_pooling_results,funny,3,0.6891,0.2857,0.2143,0.2449
microsoft_deberta_v3_small_AdamW_with_dropout_mean_pooling_results,funny,4,0.8235,0.0,0.0,0.0
microsoft_deberta_v3_small_AdamW_with_dropout_mean_pooling_results,funny,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_small_AdamW_with_dropout_mean_pooling_results,sad,overall,0.5042,0.1165,0.1846,0.1429
microsoft_deberta_v3_small_AdamW_with_dropout_mean_pooling_results,sad,1,0.5966,0.5825,0.9231,0.7143
microsoft_deberta_v3_small_AdamW_with_dropout_mean_pooling_results,sad,2,0.6134,0.0,0.0,0.0
microsoft_deberta_v3_small_AdamW_with_dropout_mean_pooling_results,sad,3,0.8739,0.0,0.0,0.0
microsoft_deberta_v3_small_AdamW_with_dropout_mean_pooling_results,sad,4,0.958,0.0,0.0,0.0
microsoft_deberta_v3_small_AdamW_with_dropout_mean_pooling_results,sad,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_small_AdamW_without_dropout_cls_results,funny,overall,0.3529,0.2147,0.2456,0.2235
microsoft_deberta_v3_small_AdamW_without_dropout_cls_results,funny,1,0.7143,0.3636,0.2857,0.32
microsoft_deberta_v3_small_AdamW_without_dropout_cls_results,funny,2,0.4874,0.3529,0.5854,0.4404
microsoft_deberta_v3_small_AdamW_without_dropout_cls_results,funny,3,0.6975,0.3571,0.3571,0.3571
microsoft_deberta_v3_small_AdamW_without_dropout_cls_results,funny,4,0.8403,0.0,0.0,0.0
microsoft_deberta_v3_small_AdamW_without_dropout_cls_results,funny,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_small_AdamW_without_dropout_cls_results,sad,overall,0.4958,0.2178,0.2161,0.2043
microsoft_deberta_v3_small_AdamW_without_dropout_cls_results,sad,1,0.5714,0.5795,0.7846,0.6667
microsoft_deberta_v3_small_AdamW_without_dropout_cls_results,sad,2,0.6218,0.2593,0.2188,0.2373
microsoft_deberta_v3_small_AdamW_without_dropout_cls_results,sad,3,0.8739,0.25,0.0769,0.1176
microsoft_deberta_v3_small_AdamW_without_dropout_cls_results,sad,4,0.958,0.0,0.0,0.0
microsoft_deberta_v3_small_AdamW_without_dropout_cls_results,sad,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_small_AdamW_without_dropout_mean_pooling_results,funny,overall,0.3193,0.1647,0.1967,0.1449
microsoft_deberta_v3_small_AdamW_without_dropout_mean_pooling_results,funny,1,0.7647,0.5,0.1786,0.2632
microsoft_deberta_v3_small_AdamW_without_dropout_mean_pooling_results,funny,2,0.3529,0.3235,0.8049,0.4615
microsoft_deberta_v3_small_AdamW_without_dropout_mean_pooling_results,funny,3,0.7143,0.0,0.0,0.0
microsoft_deberta_v3_small_AdamW_without_dropout_mean_pooling_results,funny,4,0.8403,0.0,0.0,0.0
microsoft_deberta_v3_small_AdamW_without_dropout_mean_pooling_results,funny,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_small_AdamW_without_dropout_mean_pooling_results,sad,overall,0.5546,0.2111,0.2062,0.1546
microsoft_deberta_v3_small_AdamW_without_dropout_mean_pooling_results,sad,1,0.563,0.5556,1.0,0.7143
microsoft_deberta_v3_small_AdamW_without_dropout_mean_pooling_results,sad,2,0.7311,0.5,0.0312,0.0588
microsoft_deberta_v3_small_AdamW_without_dropout_mean_pooling_results,sad,3,0.8908,0.0,0.0,0.0
microsoft_deberta_v3_small_AdamW_without_dropout_mean_pooling_results,sad,4,0.958,0.0,0.0,0.0
microsoft_deberta_v3_small_AdamW_without_dropout_mean_pooling_results,sad,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_small_SGD_with_dropout_cls_results,funny,overall,0.2857,0.1467,0.1862,0.1598
microsoft_deberta_v3_small_SGD_with_dropout_cls_results,funny,1,0.6555,0.2174,0.1786,0.1961
microsoft_deberta_v3_small_SGD_with_dropout_cls_results,funny,2,0.4958,0.3623,0.6098,0.4545
microsoft_deberta_v3_small_SGD_with_dropout_cls_results,funny,3,0.6134,0.1538,0.1429,0.1481
microsoft_deberta_v3_small_SGD_with_dropout_cls_results,funny,4,0.8403,0.0,0.0,0.0
microsoft_deberta_v3_small_SGD_with_dropout_cls_results,funny,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_small_SGD_with_dropout_cls_results,sad,overall,0.5546,0.2068,0.2253,0.1992
microsoft_deberta_v3_small_SGD_with_dropout_cls_results,sad,1,0.5714,0.5673,0.9077,0.6982
microsoft_deberta_v3_small_SGD_with_dropout_cls_results,sad,2,0.7227,0.4667,0.2188,0.2979
microsoft_deberta_v3_small_SGD_with_dropout_cls_results,sad,3,0.8908,0.0,0.0,0.0
microsoft_deberta_v3_small_SGD_with_dropout_cls_results,sad,4,0.958,0.0,0.0,0.0
microsoft_deberta_v3_small_SGD_with_dropout_cls_results,sad,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_small_SGD_with_dropout_mean_pooling_results,funny,overall,0.3193,0.1007,0.1899,0.1195
microsoft_deberta_v3_small_SGD_with_dropout_mean_pooling_results,funny,1,0.6891,0.1538,0.0714,0.0976
microsoft_deberta_v3_small_SGD_with_dropout_mean_pooling_results,funny,2,0.395,0.3495,0.878,0.5
microsoft_deberta_v3_small_SGD_with_dropout_mean_pooling_results,funny,3,0.7563,0.0,0.0,0.0
microsoft_deberta_v3_small_SGD_with_dropout_mean_pooling_results,funny,4,0.8319,0.0,0.0,0.0
microsoft_deberta_v3_small_SGD_with_dropout_mean_pooling_results,funny,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_small_SGD_with_dropout_mean_pooling_results,sad,overall,0.5462,0.1092,0.2,0.1413
microsoft_deberta_v3_small_SGD_with_dropout_mean_pooling_results,sad,1,0.5462,0.5462,1.0,0.7065
microsoft_deberta_v3_small_SGD_with_dropout_mean_pooling_results,sad,2,0.7311,0.0,0.0,0.0
microsoft_deberta_v3_small_SGD_with_dropout_mean_pooling_results,sad,3,0.8908,0.0,0.0,0.0
microsoft_deberta_v3_small_SGD_with_dropout_mean_pooling_results,sad,4,0.958,0.0,0.0,0.0
microsoft_deberta_v3_small_SGD_with_dropout_mean_pooling_results,sad,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_small_SGD_without_dropout_cls_results,funny,overall,0.2857,0.1471,0.1885,0.1599
microsoft_deberta_v3_small_SGD_without_dropout_cls_results,funny,1,0.5966,0.2059,0.25,0.2258
microsoft_deberta_v3_small_SGD_without_dropout_cls_results,funny,2,0.4874,0.3529,0.5854,0.4404
microsoft_deberta_v3_small_SGD_without_dropout_cls_results,funny,3,0.6723,0.1765,0.1071,0.1333
microsoft_deberta_v3_small_SGD_without_dropout_cls_results,funny,4,0.8487,0.0,0.0,0.0
microsoft_deberta_v3_small_SGD_without_dropout_cls_results,funny,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_small_SGD_without_dropout_cls_results,sad,overall,0.395,0.1395,0.1637,0.1506
microsoft_deberta_v3_small_SGD_without_dropout_cls_results,sad,1,0.5042,0.5395,0.6308,0.5816
microsoft_deberta_v3_small_SGD_without_dropout_cls_results,sad,2,0.5126,0.1579,0.1875,0.1714
microsoft_deberta_v3_small_SGD_without_dropout_cls_results,sad,3,0.8487,0.0,0.0,0.0
microsoft_deberta_v3_small_SGD_without_dropout_cls_results,sad,4,0.958,0.0,0.0,0.0
microsoft_deberta_v3_small_SGD_without_dropout_cls_results,sad,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_small_SGD_without_dropout_mean_pooling_results,funny,overall,0.3613,0.2458,0.2188,0.1544
microsoft_deberta_v3_small_SGD_without_dropout_mean_pooling_results,funny,1,0.7815,0.75,0.1071,0.1875
microsoft_deberta_v3_small_SGD_without_dropout_mean_pooling_results,funny,2,0.4202,0.3679,0.9512,0.5306
microsoft_deberta_v3_small_SGD_without_dropout_mean_pooling_results,funny,3,0.7059,0.1111,0.0357,0.0541
microsoft_deberta_v3_small_SGD_without_dropout_mean_pooling_results,funny,4,0.8487,0.0,0.0,0.0
microsoft_deberta_v3_small_SGD_without_dropout_mean_pooling_results,funny,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_small_SGD_without_dropout_mean_pooling_results,sad,overall,0.5546,0.1714,0.2094,0.1651
microsoft_deberta_v3_small_SGD_without_dropout_mean_pooling_results,sad,1,0.5882,0.5714,0.9846,0.7232
microsoft_deberta_v3_small_SGD_without_dropout_mean_pooling_results,sad,2,0.7059,0.2857,0.0625,0.1026
microsoft_deberta_v3_small_SGD_without_dropout_mean_pooling_results,sad,3,0.8908,0.0,0.0,0.0
microsoft_deberta_v3_small_SGD_without_dropout_mean_pooling_results,sad,4,0.958,0.0,0.0,0.0
microsoft_deberta_v3_small_SGD_without_dropout_mean_pooling_results,sad,5,0.9664,0.0,0.0,0.0
gemini-2.5-flash-lite,funny,overall,0.2887,0.3006,0.2467,0.206
gemini-2.5-flash-lite,funny,1,0.7887,0.7317,0.2113,0.3279
gemini-2.5-flash-lite,funny,2,0.5859,0.34,0.0756,0.1236
gemini-2.5-flash-lite,funny,3,0.4261,0.2668,0.7279,0.3905
gemini-2.5-flash-lite,funny,4,0.7921,0.1647,0.2188,0.1879
gemini-2.5-flash-lite,funny,5,0.9914,0.0,0.0,0.0
gemini-2.5-flash-lite,sad,overall,0.4347,0.419,0.4644,0.404
gemini-2.5-flash-lite,sad,1,0.6787,0.7308,0.5371,0.6191
gemini-2.5-flash-lite,sad,2,0.646,0.3876,0.2825,0.3268
gemini-2.5-flash-lite,sad,3,0.7302,0.2366,0.3523,0.2831
gemini-2.5-flash-lite,sad,4,0.8677,0.1566,0.65,0.2524
gemini-2.5-flash-lite,sad,5,0.9794,0.5833,0.5,0.5385
gemini-2.5-flash,funny,overall,0.1168,0.2769,0.2107,0.1022
gemini-2.5-flash,funny,1,0.7801,0.85,0.1197,0.2099
gemini-2.5-flash,funny,2,0.5997,0.25,0.0178,0.0332
gemini-2.5-flash,funny,3,0.7062,0.1667,0.0408,0.0656
gemini-2.5-flash,funny,4,0.4055,0.1105,0.625,0.1878
gemini-2.5-flash,funny,5,0.7698,0.0076,0.25,0.0147
gemini-2.5-flash,sad,overall,0.4485,0.3771,0.444,0.3823
gemini-2.5-flash,sad,1,0.6753,0.6632,0.6749,0.669
gemini-2.5-flash,sad,2,0.6546,0.3605,0.1751,0.2357
gemini-2.5-flash,sad,3,0.7749,0.241,0.2273,0.2339
gemini-2.5-flash,sad,4,0.8832,0.1471,0.5,0.2273
gemini-2.5-flash,sad,5,0.9742,0.4737,0.6429,0.5455
gemini-2.5-pro,funny,overall,0.1718,0.2623,0.3017,0.1628
gemini-2.5-pro,funny,1,0.799,0.8571,0.2113,0.339
gemini-2.5-pro,funny,2,0.5722,0.125,0.0178,0.0311
gemini-2.5-pro,funny,3,0.5687,0.1623,0.1701,0.1661
gemini-2.5-pro,funny,4,0.5567,0.1434,0.6094,0.2321
gemini-2.5-pro,funny,5,0.8557,0.0238,0.5,0.0455
gemini-2.5-pro,sad,overall,0.4296,0.3596,0.4208,0.3602
gemini-2.5-pro,sad,1,0.7113,0.7833,0.5618,0.6543
gemini-2.5-pro,sad,2,0.6426,0.3817,0.2825,0.3247
gemini-2.5-pro,sad,3,0.7234,0.208,0.2955,0.2441
gemini-2.5-pro,sad,4,0.8265,0.0549,0.25,0.0901
gemini-2.5-pro,sad,5,0.9639,0.3704,0.7143,0.4878
